1188474,99502,1816005,khorsman,5,"This soup is delicious and easy to make, and so healthy.  I found mirin at an asian grocery store but you can also find recipes for a substitute online using sake.  I used Sriracha for the hot sauce.  I did not find it necessary to strain the soup after running it through the blender, it was already smooth.  I used plain greek yogurt to top it off as I think greek yogurt adds more body and flavor than regular yogurt.  So good!.",2011-02-03T12:22:23Z,2011-02-03T12:22:23Z
1188475,197372,1816027,yclept,5,These muffins are amazing and I have made them several times.  I added also a tsp of nutmeg and used hemp hearts in place of the grape nuts.  They were great as well.  For best results I baked them for 30 minutes.,2011-02-03T12:39:08Z,2011-02-03T12:39:08Z
1188476,151020,1454985,Serraphina,5,This is soo yummy. We used more cheese on top and instant mash potatoes. This was quick comfort food. Husband said this a keeper!!!,2011-02-03T12:52:41Z,2011-02-03T12:52:41Z
1188477,69243,50969,Chef shapeweaver ,4,"I made this recipe on 2/2/10 as a part of mine and SO's dinner.Since it was just the two of us, three chicken breasts were used( I saved one for leftovers)But for the marinade the full amount was made and the paprika was a blend of Smoked Spanish and a bit of Sweet California.The taste was very good and with the blend of two different paprikas, the chicken had a bit of sweet,smokey taste to it.This recipe will be made again.Thanks for taking the time to post,and "" Keep Smiling :) """,2011-02-03T13:45:21Z,2011-02-03T13:45:21Z
1188478,213872,1227563,marym758,4,"A little sticky?!!! Hard to work with?!!!! YES!  But the real test will be when the grandbaby gets here.<br/>Ok, the grandbaby likes them so I added a star for him. :)",2011-01-01T17:32:34Z,2011-01-01T17:32:34Z
1188479,322011,152976,Wyo_Krista_Cooks,5,"This is one of my favorite recipes.  It takes some thinking in advance to start it early in the day but I make a big batch to last us several days.<br/><br/>I think substituting green chiles would make a completely different end-product, though probably a good one.  One can of chipotles is to much so I always use a bit and freeze the rest.<br/><br/>Tonight we are having carnitas for ""diet"" food (Slow Carb--->4 Hour Body).  I l %u2665 ve it!  DH and I will have it with refried beans, avocado, lettuce and tomato & salsa on top. The kids will have it with cheese on taco shells.<br/><br/>Thanks for this recipe...a staple and a keeper!!",2011-02-03T13:57:48Z,2011-02-03T13:57:48Z
1188480,9989,200339,Grammabobbie,5,The best!!,2011-02-03T14:02:37Z,2011-02-03T14:02:37Z
1188481,294152,1214418,bylrbttrfly,5,"Sooo good! I made them for me ( I am a vegan) and for my non-veg boyfriend, who also loved them. These are so easily made vegan-just use two units of Ener-g Egg Replacer (3 tsp of powder mixed with 4 Tbsp of water) in place of the eggs and the veggie crumble mixture holds up beautifully. This totally made me rethink trying other Eastern European inspired food-I always thought that it was largely bland (I come from the South and enjoy a fair amount of spice), but this was very flavorful-and also fun to make. Another note is that if you are watching your salt and want to use a reduced sodium tomato soup, I would recommend adding about 1/2 tsp of sodium free salt alternative to the veggie crumble mixture. Lastly, I ended up making 8 smaller rolls out of this by adding around 4-5 Tbsp of mixture for each cabbage leaf. Thanks for this delicious recipe!",2011-02-03T14:08:51Z,2011-02-03T14:08:51Z
1188482,22179,113509,TexasKelly,4,"We thought this was good. For us the sugar filling was not enough, and so the swirl was almost not noticeable. Besides that, it had a good flavor. I divided all the dough into two separate loaves, and the first I baked without putting butter over top, and the 2nd I did use the butter. The buttered one definitely had more flavor and I think I would do that from now on. Thanks for posting the recipe.",2011-02-03T14:11:52Z,2011-02-03T14:11:52Z
1188483,21825,522539,Cookin Up Love,3,"Used this recipe as a base, but modified it:<br/>1.) Doubled Recipe<br/>2.) Made in Crockpot<br/>3.) Omitted Flour<br/>4.) Used 1 can Cream of Celery and 1 can Cream of Chicken<br/>5.) Used Red Pepper Flakes in place of Old Bay Seasoning<br/>6.) Instead of frozen corn - used 2 cans of creamed corn<br/><br/>Rest of recipe as written.",2011-02-03T14:13:09Z,2011-02-03T14:13:09Z
1188484,305261,386585,JackieOhNo,5,"These were delicious with a nice, fluffy texture.  I also appreciated the hints on how to reduce the servings, because I made it for 7 servings, and it made a LOT of batter.  I will definitely make these again!  Made for 1-2-3 Hit Wonders Tag Game.",2009-01-12T11:12:44Z,2009-01-12T11:12:44Z
1188485,305261,204024,Lavender Lynn,5,"""Stir until just blended"" and our cast iron skillet gave these a more rustic texture and appearance than some others we've tried, but the flavor was great, and the texture light and fluffy.  Two to three pancakes satisfied most appetites, so this is a great recipe for a houseful.  We scaled it to three eggs, fed four people, and put half the batter in the fridge for tomorrow.  Made for the Potluck Game, Jan. 09.",2009-01-17T18:56:45Z,2009-01-17T18:56:45Z
1188486,305261,851405,Cooking Mom of 7,5,"I originally saw this on another recipe site.  This is a great recipe for buttermilk pancakes.  I make these about once a week or so.  I cook up all the pancakes and freeze for the kids to heat up in the microwave for breakfast or snacks (I have a 6 year old carbaholic!) These are just like the ones you find a ""greasy spoon"" truckstops....they always have the best food!",2008-11-23T15:14:24Z,2008-11-23T15:14:24Z
1188487,305261,232480,RSL5709,5,"These were fantastic!  I followed the recipe exactly as written, and my batter was a great consistency - no need to ""tweak"" it with any additional flour or milk.  My only complaint - if you can call it that - is that using a 1/4 c. measure as directed yielded me a whopping 56 pancakes (I was only planning on 36!).  But, since I was making these specifically to freeze as part of a OAMC session, it wasn't an issue - it's just a few more meals in the freezer, and next time I'll know to plan for more!  Thanks!",2010-06-17T18:34:00Z,2010-06-17T18:34:00Z
1188488,305261,175492,Chabear01,5,"Made for KK's Kitchen Fall Recipe Tag.  I made this with the adjustments for 4 servings, using two eggs.  Ohhhh my goodness these are very nice pancakes, and I am definatly saving this to my Start a New Day cookbook ...mmmm mmmm mmm.
Thank You for a wonderful recipe.",2009-10-28T17:39:38Z,2009-10-28T17:39:38Z
1188489,305261,461834,diner524,5,"Great pancakes!!  I made this for the 2 serving portion, it will feed two people for the next two days, which is great!!  Very quick to get together!!  My batter was really thin, so I add a little more flour.  Thanks for sharing Kittycatmom!!  Made for potluck tag.",2009-04-25T11:39:33Z,2009-04-25T11:39:33Z
1188490,305261,165623,Hill Family,4,We enjoyed these for breakfast this morning. They even held together good enough for a lunch snack with peanut butter and jelly - rolled up.,2009-03-07T16:15:36Z,2009-03-07T16:15:36Z
